cert,year,uninum,county_fips,deposits_kusd
873,2010,191340.0,45085,39035
873,2010,191342.0,45035,44985
873,2010,191343.0,45085,28879
873,2010,191345.0,45079,50336
873,2010,191348.0,45055,76463
873,2010,191349.0,45019,26753
873,2010,191350.0,45013,54723
873,2010,191351.0,45063,30516
873,2010,191352.0,45045,27139
873,2010,191354.0,45045,28229
873,2010,191355.0,45045,113334
873,2010,191356.0,45041,52480
873,2010,191358.0,45051,80110
873,2010,191361.0,45019,117006
873,2010,191362.0,45007,28196
873,2010,191363.0,45019,49109
873,2010,194362.0,01127,36160
873,2010,194363.0,01127,27257
873,2010,194364.0,01127,11083
873,2010,194366.0,01127,20708
873,2010,194367.0,01127,26800
873,2010,194369.0,01127,12074
873,2010,208048.0,13031,30178
873,2010,208049.0,13031,44444
873,2010,219355.0,01113,37110
873,2010,221771.0,13225,26286
873,2010,221790.0,13185,23466
873,2010,221793.0,13185,27020
873,2010,224311.0,12091,17096
873,2010,224313.0,12091,65778
873,2010,224314.0,12091,51447
873,2010,224315.0,12091,42320
873,2010,224319.0,12091,26588
873,2010,225438.0,13213,35027
873,2010,230859.0,13297,23795
873,2010,230860.0,13297,62526
873,2010,234763.0,13277,14495
873,2010,234764.0,13277,17421
873,2010,235641.0,13285,22604
873,2010,235642.0,13285,14050
873,2010,235643.0,13285,39370
873,2010,238406.0,13045,25385
873,2010,238407.0,13045,31622
873,2010,238409.0,13045,20728
873,2010,238828.0,13143,37370
873,2010,239521.0,13127,11560
873,2010,239525.0,13039,22960
873,2010,239927.0,45051,108356
873,2010,239928.0,45051,19879
873,2010,241773.0,13039,33951
873,2010,246673.0,13217,46951
873,2010,246674.0,13217,40342
873,2010,246677.0,13151,14824
873,2010,246678.0,13151,16485
873,2010,249140.0,01031,134117
873,2010,249633.0,01045,61223
873,2010,249634.0,01045,24670
873,2010,250567.0,13095,15241
873,2010,250569.0,13095,47109
873,2010,250570.0,13177,15840
873,2010,251741.0,13077,25329
873,2010,251742.0,13077,66629
873,2010,251743.0,13077,27326
873,2010,251745.0,13077,35427
873,2010,251746.0,13077,10698
873,2010,251777.0,12033,122676
873,2010,251778.0,12033,47441
873,2010,251833.0,13295,16716
873,2010,252430.0,01101,20564
873,2010,252431.0,01101,57947
873,2010,252432.0,01001,33242
873,2010,253156.0,45015,62658
873,2010,253158.0,45019,107786
873,2010,253549.0,13261,18942
873,2010,253659.0,12073,102940
873,2010,253660.0,12073,104258
873,2010,255835.0,12103,76680
873,2010,255836.0,12103,38858
873,2010,255838.0,12103,41380
873,2010,255839.0,12103,18209
873,2010,256753.0,12033,77692
873,2010,256756.0,12113,41453
873,2010,258096.0,01089,15339
873,2010,258098.0,01089,116018
873,2010,258218.0,13153,47295
873,2010,258219.0,13153,39543
873,2010,259222.0,01073,69783
873,2010,259223.0,01073,46766
873,2010,259224.0,01073,73532
873,2010,259225.0,01073,134439
873,2010,259226.0,01117,53880
873,2010,259228.0,01117,37020
873,2010,259229.0,01073,0
873,2010,260226.0,13113,21332
873,2010,260537.0,13067,28732
873,2010,260723.0,13097,20860
873,2010,260774.0,12089,44570
873,2010,261312.0,13129,37542
873,2010,261313.0,13129,20391
873,2010,261321.0,12091,38143
873,2010,261394.0,01125,28356
873,2010,261396.0,01125,66281
873,2010,261722.0,13135,28672
873,2010,262015.0,13067,66840
873,2010,262198.0,45083,26726
873,2010,262374.0,45079,37617
873,2010,262375.0,45079,80708
873,2010,262376.0,45079,37742
873,2010,262378.0,45079,36034
873,2010,263471.0,13115,28577
873,2010,265737.0,13059,66535
873,2010,265738.0,13059,84512
873,2010,265739.0,13147,82752
873,2010,265740.0,13219,36364
873,2010,265741.0,13059,100191
873,2010,265745.0,13059,36057
873,2010,265823.0,13127,34443
873,2010,283802.0,13227,51516
873,2010,283804.0,13057,144452
873,2010,283805.0,13057,110449
873,2010,283806.0,13121,409523
873,2010,283807.0,13121,115495
873,2010,283924.0,13153,43343
873,2010,288949.0,47037,53927
873,2010,288950.0,47187,35259
873,2010,288951.0,47165,26016
873,2010,290340.0,47157,30123
873,2010,290341.0,47157,36851
873,2010,290342.0,47157,35823
873,2010,290343.0,47157,33426
873,2010,290344.0,47157,15531
873,2010,290425.0,12101,46982
873,2010,290426.0,12103,65873
873,2010,290940.0,12033,57012
873,2010,294957.0,01125,28381
873,2010,334459.0,45013,47982
873,2010,334460.0,45063,36941
873,2010,357169.0,01089,156675
873,2010,357424.0,45015,44042
873,2010,359747.0,01113,18987
873,2010,360057.0,13135,120522
873,2010,360058.0,13117,78210
873,2010,360425.0,12033,0
873,2010,360506.0,13113,29308
873,2010,360616.0,45041,13926
873,2010,361204.0,13059,14334
873,2010,361469.0,13261,0
873,2010,361471.0,01117,52024
873,2010,361505.0,12103,19455
873,2010,361774.0,13313,39443
873,2010,361927.0,12113,24137
873,2010,362523.0,45043,23085
873,2010,363719.0,13185,30293
873,2010,364136.0,12103,22997
873,2010,364166.0,13121,264543
873,2010,364306.0,13043,49325
873,2010,364835.0,12091,11658
873,2010,365193.0,01073,14783
873,2010,365237.0,13067,55112
873,2010,365238.0,13121,64236
873,2010,365265.0,47187,29190
873,2010,365351.0,12033,116617
873,2010,365352.0,12113,24575
873,2010,365539.0,13215,22323
873,2010,365623.0,47037,14864
873,2010,366302.0,12081,37021
873,2010,419619.0,45019,0
873,2010,419620.0,45045,29692
873,2010,419751.0,01089,41891
873,2010,423117.0,12031,141700
873,2010,423492.0,13135,19039
873,2010,424723.0,47037,24380
873,2010,424734.0,01125,43345
873,2010,428000.0,12091,14202
873,2010,428133.0,01125,28747
873,2010,428134.0,12033,22237
873,2010,429522.0,13223,34781
873,2010,430466.0,47065,9003
873,2010,432098.0,13051,86519
873,2010,442214.0,47157,7754
873,2010,444020.0,01073,6543
873,2010,444096.0,12103,53460
873,2010,450829.0,47065,16436
873,2010,450830.0,13313,28376
873,2010,450832.0,13135,74560
873,2010,450859.0,13247,10958
873,2010,451176.0,45091,33786
873,2010,453006.0,12057,26500
873,2010,453007.0,13245,61599
873,2010,453009.0,13127,37203
873,2010,453324.0,13015,22938
873,2010,453414.0,13051,33258
873,2010,453624.0,13215,0
873,2010,453812.0,01081,20523
873,2010,454248.0,12057,10033
873,2010,455355.0,47037,19230
873,2010,456589.0,01117,9266
873,2010,456594.0,12081,16774
873,2010,456678.0,12031,23096
873,2010,457585.0,13247,36030
873,2010,457908.0,12101,37494
873,2010,458099.0,12115,26594
873,2010,458821.0,01089,12680
873,2010,461000.0,13219,12347
873,2010,461369.0,13031,27444
