fips,county_name,state_name,popestimate2020,popestimate2025,domesticmig_2021_2025,netmig_2021_2025,births_2021_2025,deaths_2021_2025
06073,San Diego County,California,3301110,3282248,-133070,-75253,181942,122310
06075,San Francisco County,California,875139,826079,-79909,-46558,35396,32185
06077,San Joaquin County,California,780618,823815,5869,27693,48485,32692
06079,San Luis Obispo County,California,282257,282367,-778,1042,12159,13186
06081,San Mateo County,California,762639,743568,-64201,-29695,36630,25056
06083,Santa Barbara County,California,448325,442065,-23912,-15917,27534,17381
06085,Santa Clara County,California,1931349,1914391,-168614,-52355,93585,55533
06087,Santa Cruz County,California,271758,258852,-15429,-13414,10796,9837
06089,Shasta County,California,182191,181648,1628,2892,9022,12377
06091,Sierra County,California,3226,3098,-8,2,96,220
06093,Siskiyou County,California,43983,42013,-747,-608,1886,3237
06095,Solano County,California,452895,455376,-10190,-1762,23858,19588
06097,Sonoma County,California,488514,486444,-7935,-1605,22023,22261
06099,Stanislaus County,California,553702,557719,-14671,-5617,34800,25413
06101,Sutter County,California,99463,98787,-4869,-2210,6117,4642
06103,Tehama County,California,65760,64665,-931,-654,3715,4152
06105,Trinity County,California,16099,15720,26,15,498,874
06107,Tulare County,California,473915,485146,-8075,-3670,33332,18745
06109,Tuolumne County,California,55369,53160,-789,-675,2181,3789
06111,Ventura County,California,843793,830851,-30881,-21777,42433,33986
06113,Yolo County,California,217760,224410,-3665,3998,9544,7350
06115,Yuba County,California,81996,88691,4022,4698,5646,3670
08001,Adams County,Colorado,520411,554668,2744,19961,31839,17885
08003,Alamosa County,Colorado,16377,16688,137,292,928,902
08005,Arapahoe County,Colorado,655269,673820,-31420,3434,38434,23605
08007,Archuleta County,Colorado,13426,14306,996,1050,549,716
08009,Baca County,Colorado,3478,3347,-46,-4,182,311
08011,Bent County,Colorado,5472,5716,412,408,201,376
08013,Boulder County,Colorado,330982,328560,-10148,-3321,12069,10761
08014,Broomfield County,Colorado,74482,79174,2460,3877,3269,2481
08015,Chaffee County,Colorado,19486,20831,1369,1426,811,956
08017,Cheyenne County,Colorado,1746,1713,-20,7,86,123
08019,Clear Creek County,Colorado,9358,8994,-279,-269,252,332
08021,Conejos County,Colorado,7457,7529,138,131,503,552
08023,Costilla County,Colorado,3499,3679,308,305,172,292
08025,Crowley County,Colorado,5707,5677,131,136,144,307
08027,Custer County,Colorado,4724,5590,892,898,239,273
08029,Delta County,Colorado,31062,32178,1875,1965,1448,2299
08031,Denver County,Colorado,717680,740613,-25336,4366,44885,26041
08033,Dolores County,Colorado,2331,2466,195,194,91,156
08035,Douglas County,Colorado,360315,399396,25508,30200,19259,10208
08037,Eagle County,Colorado,55657,54291,-4131,-3043,2475,919
08039,Elbert County,Colorado,26211,30534,4099,4116,1287,1050
08041,El Paso County,Colorado,733721,757040,212,8001,45921,30779
08043,Fremont County,Colorado,48880,50039,2604,2655,1787,3362
08045,Garfield County,Colorado,61793,63474,-1362,102,3668,2092
08047,Gilpin County,Colorado,5817,6073,168,208,217,170
08049,Grand County,Colorado,15748,16496,284,575,649,482
08051,Gunnison County,Colorado,16950,17439,77,247,686,434
08053,Hinsdale County,Colorado,789,753,-25,-25,26,35
08055,Huerfano County,Colorado,6824,7011,638,635,218,669
08057,Jackson County,Colorado,1379,1211,-160,-149,43,64
08059,Jefferson County,Colorado,583131,580451,-12277,-4631,27326,25442
08061,Kiowa County,Colorado,1453,1412,-38,-31,91,104
08063,Kit Carson County,Colorado,7062,7069,-73,40,417,442
08065,Lake County,Colorado,7409,7552,-188,-90,442,211
08067,La Plata County,Colorado,55679,56898,1021,1188,2150,2170
08069,Larimer County,Colorado,359942,377292,11855,15571,15117,13638
08071,Las Animas County,Colorado,14491,14391,290,397,596,1104
08073,Lincoln County,Colorado,5666,5645,22,28,256,293
08075,Logan County,Colorado,21221,20654,-265,-113,920,1378
08077,Mesa County,Colorado,156007,162845,7964,8454,7379,9083
08079,Mineral County,Colorado,870,910,71,71,31,58
08081,Moffat County,Colorado,13267,13122,-347,-252,745,631
08083,Montezuma County,Colorado,25890,26678,1093,1331,1235,1768
08085,Montrose County,Colorado,42825,44591,2066,2617,1949,2813
08087,Morgan County,Colorado,29080,30306,-607,615,2082,1452
08089,Otero County,Colorado,18659,17683,-538,-502,984,1470
08091,Ouray County,Colorado,4879,5265,393,436,145,184
08093,Park County,Colorado,17425,18314,788,840,717,674
08095,Phillips County,Colorado,4528,4420,-146,-36,272,344
08097,Pitkin County,Colorado,17363,16625,-1385,-1068,631,363
08099,Prowers County,Colorado,12012,11884,-338,-128,753,759
08101,Pueblo County,Colorado,168334,169277,2757,3643,8539,11200
08103,Rio Blanco County,Colorado,6522,6683,-37,185,277,297
08105,Rio Grande County,Colorado,11538,11087,-266,-278,581,754
08107,Routt County,Colorado,24837,25329,-384,131,1040,689
08109,Saguache County,Colorado,6396,6732,371,377,334,374
08111,San Juan County,Colorado,710,813,108,104,23,29
08113,San Miguel County,Colorado,8053,7753,-484,-412,273,170
08115,Sedgwick County,Colorado,2391,2247,-26,-17,86,213
08117,Summit County,Colorado,31237,31517,-2018,-653,1283,408
08119,Teller County,Colorado,24746,24756,174,321,895,1204
08121,Washington County,Colorado,4810,4732,-32,2,237,317
08123,Weld County,Colorado,331434,378426,29361,34226,23976,11609
08125,Yuma County,Colorado,9975,9896,-677,-237,672,521
09110,Capitol Planning Region,Connecticut,964034,994115,3006,30685,46295,46472
09120,Greater Bridgeport Planning Region,Connecticut,324360,337697,-7902,8455,17126,12547
09130,Lower Connecticut River Valley Planning Region,Connecticut,173266,177311,3757,6086,6997,8851
09140,Naugatuck Valley Planning Region,Connecticut,448993,463349,4650,14524,21666,21689
09150,Northeastern Connecticut Planning Region,Connecticut,95212,98096,3075,3625,4251,5004
09160,Northwest Hills Planning Region,Connecticut,112206,114690,2509,4056,4525,5990
09170,South Central Connecticut Planning Region,Connecticut,564449,578741,-2466,14755,27898,28117
09180,Southeastern Connecticut Planning Region,Connecticut,278383,284015,2833,7307,12912,14577
09190,Western Connecticut Planning Region,Connecticut,618740,640482,-16173,13530,32231,24568
10001,Kent County,Delaware,182322,194786,10286,12309,10667,10529
10003,New Castle County,Delaware,570941,588026,1492,14773,30086,27801
10005,Sussex County,Delaware,238627,277140,39199,43518,11724,16908
11001,District of Columbia,District of Columbia,670958,693645,-18507,8843,40137,26167
12001,Alachua County,Florida,279767,290028,863,9106,12916,11764
12003,Baker County,Florida,28114,29737,1097,1354,1841,1684
12005,Bay County,Florida,174551,204479,23381,29936,10621,10847
12007,Bradford County,Florida,28235,28307,198,250,1554,1807
12009,Brevard County,Florida,608765,663982,63108,71641,26035,42976
12011,Broward County,Florida,1943437,2013317,-94062,54583,101766,85656
12013,Calhoun County,Florida,13703,13289,54,103,589,1102
12015,Charlotte County,Florida,188023,217212,37081,40152,5253,16157
12017,Citrus County,Florida,154563,171666,27393,27885,5234,16239
12019,Clay County,Florida,218949,239593,18874,21031,11292,11762
12021,Collier County,Florida,377327,417131,21329,44718,17013,21606
12023,Columbia County,Florida,69758,74094,4792,5586,3682,5154
12027,DeSoto County,Florida,34093,37078,2209,3196,1902,2173
12029,Dixie County,Florida,16697,18038,1952,1981,803,1468
12031,Duval County,Florida,997800,1062963,15947,51824,63356,50936
12033,Escambia County,Florida,322547,333834,8423,13463,18467,20671
12035,Flagler County,Florida,116031,140360,27211,28662,4262,8775
12037,Franklin County,Florida,12473,13029,862,956,447,881
12039,Gadsden County,Florida,43427,44298,702,1500,2377,2973
12041,Gilchrist County,Florida,17890,20488,2386,2764,1018,1218
12043,Glades County,Florida,12079,13270,1342,1619,352,797
12045,Gulf County,Florida,14270,15943,2068,2134,571,1131
12047,Hamilton County,Florida,13733,14180,745,761,724,1017
12049,Hardee County,Florida,25335,25932,-96,364,1770,1548
12051,Hendry County,Florida,39726,48276,4125,7395,2999,1939
12053,Hernando County,Florida,195610,221701,31809,33857,8429,16380
12055,Highlands County,Florida,101341,111122,12870,14796,4236,9324
12057,Hillsborough County,Florida,1466246,1574115,4664,86506,85022,64263
12059,Holmes County,Florida,19591,20119,1130,1136,1001,1653
12061,Indian River County,Florida,160454,172799,16512,18946,6243,12885
12063,Jackson County,Florida,47104,49629,3409,3627,2466,3720
12065,Jefferson County,Florida,14403,16007,1778,1894,640,995
12067,Lafayette County,Florida,8236,8792,558,689,392,538
12069,Lake County,Florida,386221,456068,68258,76817,18581,26432
12071,Lee County,Florida,765575,875607,77769,116223,37607,44368
12073,Leon County,Florida,293925,299048,-2847,3333,13797,12000
12075,Levy County,Florida,43065,48520,6417,6814,2164,3556
12077,Liberty County,Florida,7818,8035,234,268,402,441
12079,Madison County,Florida,17863,18759,1362,1462,934,1518
12081,Manatee County,Florida,401622,468200,58961,72209,18989,25147
12083,Marion County,Florida,377432,442660,71208,78776,17968,32335
12085,Martin County,Florida,158656,166272,9987,13131,6343,11850
12086,Miami-Dade County,Florida,2695519,2802029,-270815,77264,145674,116424
12087,Monroe County,Florida,82851,80406,-6210,-2150,3508,3846
12089,Nassau County,Florida,91040,106879,16789,16984,4385,5660
12091,Okaloosa County,Florida,212082,221810,1341,7911,12879,11206
12093,Okeechobee County,Florida,39662,42608,2571,3115,2730,2941
12095,Orange County,Florida,1431608,1528002,-54873,64979,81706,49921
12097,Osceola County,Florida,391130,481718,42264,81557,24476,15804
12099,Palm Beach County,Florida,1494203,1575726,-1852,90393,74803,83254
12101,Pasco County,Florida,566170,674516,107118,117502,28072,37968
12103,Pinellas County,Florida,959805,948563,627,17549,36173,65094
12105,Polk County,Florida,730148,874790,119498,142694,44771,43758
12107,Putnam County,Florida,73383,77734,5779,6472,4052,6234
12109,St. Johns County,Florida,277119,346328,66401,69890,12383,12797
12111,St. Lucie County,Florida,331453,402449,63594,73463,17986,20892
12113,Santa Rosa County,Florida,189024,211115,20958,22035,9958,9944
12115,Sarasota County,Florida,436262,479958,52687,62584,14656,33293
12117,Seminole County,Florida,471471,491884,2674,18000,22338,20176
12119,Sumter County,Florida,130293,157772,36929,37523,2761,13410
12121,Suwannee County,Florida,43518,48149,5331,5964,2189,3657
12123,Taylor County,Florida,21756,21210,-333,94,1067,1670
12125,Union County,Florida,15442,16250,1356,1378,808,1391
12127,Volusia County,Florida,555791,606573,59139,67291,24858,41869
12129,Wakulla County,Florida,33917,38089,4253,4315,1706,1929
12131,Walton County,Florida,75899,93288,15688,17075,4702,4369
12133,Washington County,Florida,25324,26695,1709,1845,1321,1842
13001,Appling County,Georgia,18376,19100,536,831,1017,1121
13003,Atkinson County,Georgia,8307,8454,-296,-12,691,540
13005,Bacon County,Georgia,11113,11070,14,19,725,795
13007,Baker County,Georgia,2848,2725,-54,3,109,234
13009,Baldwin County,Georgia,43786,44029,649,963,1959,2722
13011,Banks County,Georgia,18129,21273,2878,2974,1252,1118
13013,Barrow County,Georgia,84066,99773,12339,13509,6258,4144
